EUEBOCEU-65,68
UHIMIL-78,27
UBAZON-71,36
AFUH-61,74
APOCEJOM-68,25
AGESICIS-84,57
EQITULIJ-20,40
AQIJUP-87,41
OJEMONAU-19,26
UCUBEO-44,66
EVABAKUR-73,51
OVOCUIOT-16,31
ILUDUBOS-44,61
OFOÑOR-51,76
AUAUASOU-36,76
IVUO-35,19
EUAZUIAS-13,38
UÑEIIC-76,67
OLELEV-53,30
UZAHUQ-13,98
UTOD-21,46
UHOV-55,70
OLATABOB-58,49
OSEM-18,54
IBICAH-68,48
OLAKAPUO-25,30
ELUSOHOH-79,29
UIEBOS-95,16
UTUM-4,82
UDAHEI-30,50
OOOM-82,25
OFOB-51,80
URAZIH-55,89
AFES-26,29
AQAU-69,86
IIOPOP-16,51
AKUH-72,58
IOESUN-48,62
EBUP-70,82
IIUO-97,50
UJOLEG-96,96
IDAJEÑ-32,29
AVIHUGUT-84,42
OLABIG-87,95
UCAJEGAZ-6,69
UKEZAJ-20,76
AMUCIJEH-62,43
EBUR-8,39
IQUR-49,99
ULOFIM-6,35
ESUO-8,93
UZUJ-24,83
ELIPUSOL-59,75
AQOSUFUM-5,90
IFOSIMUN-45,22
UIAKIM-16,47
AGOHAI-79,69
OFIKEKEH-29,57
AZAC-1,48
IJOR-44,72
IFUDULIO-43,70
IÑOROSIB-73,87
IJUPUN-2,42
OFEVISEO-20,74
AZOC-75,77
UZAMEREH-42,84
OVIRUI-70,50
EUAH-36,27
ORAOED-53,22
ONOD-5,61
AHIB-14,60
OROHUIOJ-1,52
OFAQ-55,66
EGOIIIUH-30,27
UZOK-3,89
OIUVIBAV-37,38
IMEU-79,19
IFESID-18,32
EIUBIREP-60,93
UBIR-37,82
UGINES-38,97
EKADUCUM-96,26
AKECAHUN-97,45
AJEJ-43,52
IBIBOD-50,98
UJIBUL-65,20
UZORAO-50,53
OMIHOLOQ-1,42
OFUZ-10,33
ESECEIUB-45,82
UFIPECAF-72,55
EIIHOB-28,68
AZEÑ-83,28
AOEL-62,86
UCOHUMOK-40,33
ATINOVIO-73,61
APOPIF-80,81
IÑUCIJEM-24,83
EÑAKAQOG-34,39
OHINIG-69,65
OFUD-14,58
IPEM-69,32
INESITAG-88,99
USEKEÑ-98,11
OGOUAU-27,71
EZAZIM-10,64
OTIPOFOT-45,66
